hoch,high,Der Berg ist hoch.,The mountain is high.
das Alter,the age,In deinem Alter war ich klein.,At your age I was small. alt: old
das Land,"the country, the land",Deutschland ist ein großes Land.,Germany is a big country. Plural: die Länder
das Zimmer,the room,Mein Zimmer ist hell.,My room is bright. Plural: die Zimmer
der Spaß,the fun,Das macht Spaß.,That is fun.
die Schuld,"the guilt, the fault",Das ist nicht meine Schuld.,That is not my fault.
verlassen,to leave,Sie verlässt das Haus um acht.,She leaves the house at eight. du verlässt
zeigen,to show,Zeig mir das Foto.,Show me the photo.
beste,best,Das ist mein bester Freund.,That is my best friend.
ernst,serious,Das ist ein ernstes Problem.,That is a serious problem.
der Ort,the place,Das ist ein schöner Ort.,This is a beautiful place. Plural: die Orte
manchmal,sometimes,Manchmal koche ich.,Sometimes I cook.
die Seite,"the page, the side",Lies Seite zehn.,Read page ten. Plural: die Seiten
das Spiel,the game,Das Spiel beginnt um drei.,The game starts at three. Plural: die Spiele
die Chance,the chance,Das ist deine Chance.,This is your chance. Plural: die Chancen
die Freundin,"the friend (female), the girlfriend",Meine Freundin heißt Lena.,My girlfriend is called Lena. Plural: die Freundinnen
gefallen,"to be pleasing, to like",Das Bild gefällt mir.,I like the picture. Literally: the picture pleases me
erzählen,to tell,Erzähl mir von deinem Tag.,Tell me about your day.
entschuldigen,to excuse,"Entschuldigen Sie, wo ist der Bahnhof?","Excuse me, where is the station?"
wichtig,important,Das ist sehr wichtig.,That is very important.
das Bett,the bed,Ich gehe ins Bett.,I am going to bed. Plural: die Betten
die Sache,"the thing, the matter",Das ist eine andere Sache.,That is another matter. Plural: die Sachen
schlecht,bad,Das Wetter ist schlecht.,The weather is bad.
die Schule,the school,Die Schule beginnt um acht.,School starts at eight. Plural: die Schulen
die Entschuldigung,"the apology, excuse me","Entschuldigung, ist hier frei?","Excuse me, is this seat free? Plural: die Entschuldigungen"
das Wort,the word,Das Wort ist neu für mich.,The word is new to me. Plural: die Wörter
schlafen,to sleep,Ich schlafe acht Stunden.,"I sleep eight hours. du schläfst, er schläft"
das Gesicht,the face,Ihr Gesicht ist rot.,Her face is red. Plural: die Gesichter
unten,"down, downstairs",Die Küche ist unten.,The kitchen is downstairs.
der Teil,the part,Der erste Teil ist leicht.,The first part is easy. Plural: die Teile
stellen,"to put, to place",Stell die Vase auf den Tisch.,Put the vase on the table.
oft,often,Ich fahre oft Rad.,I often ride a bike.
trinken,to drink,Was möchtest du trinken?,What would you like to drink?
ehrlich,honest,Sei ehrlich.,Be honest.
die Eltern,the parents,Meine Eltern wohnen in München.,My parents live in Munich. Plural only
das Herz,the heart,Mein Herz schlägt schnell.,My heart is beating fast. Plural: die Herzen
glücklich,happy,Ich bin sehr glücklich.,I am very happy.
alt,old,Wie alt bist du?,How old are you?
auf Wiedersehen,goodbye,"Auf Wiedersehen, bis Montag.","Goodbye, see you Monday."
frei,free,Ist der Platz frei?,Is this seat free?
möglich,possible,Das ist nicht möglich.,That is not possible.
der Platz,"the place, the seat, the square",Ist hier noch ein Platz frei?,Is there a free seat here? Plural: die Plätze
der Papa,the dad,Papa kocht heute.,Dad is cooking today.
falsch,"wrong, false",Die Antwort ist falsch.,The answer is wrong.
die Nummer,the number,Wie ist deine Nummer?,What is your number? Plural: die Nummern
früher,"earlier, in the past",Früher wohnte ich in Kiel.,I used to live in Kiel.
wohin,where to,Wohin fährst du?,Where are you going?
früh,early,Ich stehe früh auf.,I get up early.
setzen,"to set, to sit down (sich)",Setz dich bitte.,Please sit down.
zuerst,"first, at first",Zuerst frühstücken wir.,First we have breakfast.
wahrscheinlich,probably,Es wird wahrscheinlich regnen.,It will probably rain.
das Telefon,the telephone,Das Telefon klingelt.,The telephone is ringing. Plural: die Telefone
willkommen,welcome,Willkommen in Berlin!,Welcome to Berlin!
der Plan,the plan,Hast du einen Plan?,Do you have a plan? Plural: die Pläne
retten,"to save, to rescue",Der Arzt rettet Leben.,The doctor saves lives.
der Fehler,the mistake,Das war mein Fehler.,That was my mistake. Plural: die Fehler
zehn,ten,Ich habe zehn Finger.,I have ten fingers.
nächste,next,Die nächste Straße links.,The next street on the left.
langsam,"slow, slowly",Sprich bitte langsam.,Please speak slowly.
sechs,six,Der Laden öffnet um sechs.,The shop opens at six.
das Büro,the office,Ich arbeite im Büro.,I work in the office. Plural: die Büros
schaffen,"to manage, to accomplish",Wir schaffen das.,We can do it.
leider,unfortunately,Leider habe ich keine Zeit.,Unfortunately I have no time.
trotzdem,nevertheless,"Es regnet, trotzdem gehe ich raus.","It is raining, but I am going out anyway."
der Doktor,the doctor,Der Doktor kommt gleich.,The doctor is coming shortly. Plural: die Doktoren
voll,full,Der Bus ist voll.,The bus is full.
der Film,the film,Der Film war lang.,The film was long. Plural: die Filme
überall,everywhere,Überall liegt Schnee.,There is snow everywhere.
direkt,"direct, directly",Der Zug fährt direkt nach Paris.,The train goes directly to Paris.
danach,afterwards,Danach gehen wir essen.,Afterwards we go out to eat.
funktionieren,"to work, to function",Der Drucker funktioniert nicht.,The printer does not work.
lernen,to learn,Ich lerne Deutsch.,I am learning German.
nennen,"to call, to name",Alle nennen mich Tom.,Everyone calls me Tom.
das Feuer,the fire,Das Feuer ist warm.,The fire is warm. Plural: die Feuer
laufen,"to run, to walk",Wir laufen zum Park.,"We walk to the park. du läufst, er läuft"
erinnern,to remember (sich),Ich erinnere mich an den Tag.,I remember the day.
verlieren,to lose,Ich verliere oft meine Schlüssel.,I often lose my keys.
der Kaffee,the coffee,Ich trinke Kaffee mit Milch.,I drink coffee with milk.
die Luft,the air,Die Luft ist frisch.,The air is fresh.
ziehen,"to pull, to move house",Wir ziehen nach Berlin.,We are moving to Berlin.
verschwinden,to disappear,Der Hund ist verschwunden.,The dog has disappeared.
aufhören,to stop,Hör auf zu reden.,Stop talking.
die Hoffnung,the hope,Es gibt noch Hoffnung.,There is still hope. Plural: die Hoffnungen
das Buch,the book,Das Buch ist spannend.,The book is exciting. Plural: die Bücher
krank,"ill, sick",Ich bin krank.,I am ill.
der Arzt,the doctor (medical),Ich gehe zum Arzt.,I am going to the doctor. Plural: die Ärzte
froh,glad,"Ich bin froh, dass du da bist.",I am glad you are here.
die Straße,the street,Die Straße ist lang.,The street is long. Plural: die Straßen
rufen,"to call, to shout",Ruf mich morgen an.,Call me tomorrow. anrufen: to phone
heiraten,to marry,Sie heiraten im Mai.,They are getting married in May.
super,"great, super",Das ist super!,That is great!
der Onkel,the uncle,Mein Onkel wohnt in Bern.,My uncle lives in Bern. Plural: die Onkel
die Party,the party,Die Party ist am Samstag.,The party is on Saturday. Plural: die Partys
erklären,to explain,Kannst du das erklären?,Can you explain that?
vertrauen,to trust,Ich vertraue dir.,I trust you.
leicht,"easy, light",Die Aufgabe ist leicht.,The task is easy.
das Gefühl,the feeling,Ich habe ein gutes Gefühl.,I have a good feeling. Plural: die Gefühle
kaufen,to buy,Ich kaufe Brot.,I am buying bread.
die Zukunft,the future,Die Zukunft ist unklar.,The future is unclear.
weniger,"less, fewer",Ich esse weniger Zucker.,I eat less sugar.
das Licht,the light,Mach das Licht an.,Turn the light on. Plural: die Lichter
der Himmel,"the sky, the heaven",Der Himmel ist blau.,The sky is blue.
die Nachricht,"the message, the news",Ich habe eine Nachricht für dich.,I have a message for you. Plural: die Nachrichten
kümmern,to take care of (sich),Ich kümmere mich um die Katze.,I take care of the cat.
laut,loud,Die Musik ist zu laut.,The music is too loud.
die Erde,the earth,Die Erde ist rund.,The earth is round.
der Schlüssel,the key,Wo ist der Schlüssel?,Where is the key? Plural: die Schlüssel
der Körper,the body,Sport ist gut für den Körper.,Sport is good for the body. Plural: die Körper
schreiben,to write,Ich schreibe einen Brief.,I am writing a letter.
böse,"angry, evil",Sei nicht böse.,Do not be angry.
die Katze,the cat,Die Katze schläft.,The cat is sleeping. Plural: die Katzen
der Hund,the dog,Der Hund bellt.,The dog barks. Plural: die Hunde
der Brief,the letter,Der Brief ist für dich.,The letter is for you. Plural: die Briefe
die Milch,the milk,Die Milch ist im Kühlschrank.,The milk is in the fridge.
das Wetter,the weather,Das Wetter ist schön.,The weather is nice.
